date,time,latitude,longitude,label,type
25-Apr-19, 18:31:39 ,116,132,1,ddos
25-Apr-19, 18:31:41 ,121,135,1,ddos
25-Apr-19, 18:31:46 ,121,135,1,ddos
25-Apr-19, 18:31:49 ,116,132,1,ddos
25-Apr-19, 18:31:51 ,121,135,1,ddos
25-Apr-19, 18:31:54 ,116,132,1,ddos
25-Apr-19, 18:31:59 ,116,132,1,ddos
25-Apr-19, 18:32:01 ,121,135,1,ddos
25-Apr-19, 18:32:04 ,116,132,1,ddos
25-Apr-19, 18:32:06 ,122,135,1,ddos
25-Apr-19, 18:32:09 ,116,132,1,ddos
25-Apr-19, 18:32:11 ,122,135,1,ddos
25-Apr-19, 18:32:14 ,116,132,1,ddos
25-Apr-19, 18:32:16 ,122,135,1,ddos
25-Apr-19, 18:32:19 ,116,132,1,ddos
25-Apr-19, 18:32:21 ,122,135,1,ddos
25-Apr-19, 18:32:24 ,116,132,1,ddos
25-Apr-19, 18:32:29 ,116,132,1,ddos
25-Apr-19, 18:32:31 ,122,135,1,ddos
25-Apr-19, 18:32:34 ,116,132,1,ddos
25-Apr-19, 18:32:36 ,122,135,1,ddos
25-Apr-19, 18:32:39 ,117,132,1,ddos
25-Apr-19, 18:32:41 ,122,135,1,ddos
25-Apr-19, 18:32:46 ,122,135,1,ddos
25-Apr-19, 18:32:49 ,117,132,1,ddos
25-Apr-19, 18:32:51 ,122,135,1,ddos
25-Apr-19, 18:32:54 ,117,132,1,ddos
25-Apr-19, 18:32:59 ,117,132,1,ddos
25-Apr-19, 18:33:04 ,117,132,1,ddos
25-Apr-19, 18:33:06 ,122,135,1,ddos
25-Apr-19, 18:33:09 ,117,132,1,ddos
25-Apr-19, 18:33:11 ,122,135,1,ddos
25-Apr-19, 18:33:16 ,122,135,1,ddos
25-Apr-19, 18:33:19 ,117,133,1,ddos
25-Apr-19, 18:33:21 ,122,135,1,ddos
25-Apr-19, 18:33:24 ,117,133,1,ddos
25-Apr-19, 18:33:26 ,122,136,1,ddos
25-Apr-19, 18:33:29 ,117,133,1,ddos
25-Apr-19, 18:33:31 ,122,136,1,ddos
25-Apr-19, 18:33:34 ,117,133,1,ddos
25-Apr-19, 18:33:36 ,123,136,1,ddos
25-Apr-19, 18:33:39 ,117,133,1,ddos
25-Apr-19, 18:33:41 ,123,136,1,ddos
25-Apr-19, 18:33:46 ,123,136,1,ddos
25-Apr-19, 18:33:49 ,117,133,1,ddos
25-Apr-19, 18:33:51 ,123,136,1,ddos
25-Apr-19, 18:33:54 ,117,133,1,ddos
25-Apr-19, 18:33:59 ,117,133,1,ddos
25-Apr-19, 18:34:01 ,123,136,1,ddos
25-Apr-19, 18:34:04 ,117,133,1,ddos
25-Apr-19, 18:34:06 ,123,136,1,ddos
25-Apr-19, 18:34:09 ,117,133,1,ddos
25-Apr-19, 18:34:11 ,123,136,1,ddos
25-Apr-19, 18:34:16 ,123,136,1,ddos
25-Apr-19, 18:34:19 ,117,133,1,ddos
25-Apr-19, 18:34:21 ,123,136,1,ddos
25-Apr-19, 18:34:24 ,117,133,1,ddos
25-Apr-19, 18:34:29 ,117,133,1,ddos
25-Apr-19, 18:34:31 ,123,136,1,ddos
25-Apr-19, 18:34:34 ,117,133,1,ddos
25-Apr-19, 18:34:39 ,118,133,1,ddos
25-Apr-19, 18:34:46 ,123,136,1,ddos
25-Apr-19, 18:34:51 ,123,136,1,ddos
25-Apr-19, 18:34:54 ,118,133,1,ddos
25-Apr-19, 18:34:56 ,123,137,1,ddos
25-Apr-19, 18:34:59 ,118,133,1,ddos
25-Apr-19, 18:35:01 ,123,137,1,ddos
25-Apr-19, 18:35:04 ,118,134,1,ddos
25-Apr-19, 18:35:06 ,123,137,1,ddos
25-Apr-19, 18:35:09 ,118,134,1,ddos
25-Apr-19, 18:35:11 ,123,137,1,ddos
25-Apr-19, 18:35:21 ,123,137,1,ddos
25-Apr-19, 18:35:24 ,118,134,1,ddos
25-Apr-19, 18:35:29 ,118,134,1,ddos
25-Apr-19, 18:35:34 ,118,134,1,ddos
25-Apr-19, 18:35:37 ,124,137,1,ddos
25-Apr-19, 18:35:42 ,124,137,1,ddos
25-Apr-19, 18:35:47 ,124,137,1,ddos
25-Apr-19, 18:35:52 ,124,137,1,ddos
25-Apr-19, 18:35:55 ,118,134,1,ddos
25-Apr-19, 18:35:57 ,124,137,1,ddos
25-Apr-19, 18:36:00 ,118,134,1,ddos
25-Apr-19, 18:36:05 ,118,134,1,ddos
25-Apr-19, 18:36:07 ,124,137,1,ddos
25-Apr-19, 18:36:10 ,118,134,1,ddos
25-Apr-19, 18:36:12 ,124,137,1,ddos
25-Apr-19, 18:36:15 ,118,134,1,ddos
25-Apr-19, 18:36:17 ,124,137,1,ddos
25-Apr-19, 18:36:22 ,124,137,1,ddos
25-Apr-19, 18:36:25 ,118,134,1,ddos
25-Apr-19, 18:36:27 ,124,137,1,ddos
25-Apr-19, 18:38:55 ,120,135,1,ddos
25-Apr-19, 18:38:57 ,126,139,1,ddos
25-Apr-19, 18:39:00 ,120,135,1,ddos
25-Apr-19, 18:39:05 ,120,135,1,ddos
25-Apr-19, 18:39:07 ,126,139,1,ddos
25-Apr-19, 18:39:10 ,120,136,1,ddos
25-Apr-19, 18:39:12 ,126,139,1,ddos
25-Apr-19, 18:39:15 ,120,136,1,ddos
25-Apr-19, 18:39:17 ,126,139,1,ddos
25-Apr-19, 18:39:22 ,126,139,1,ddos
25-Apr-19, 18:39:25 ,120,136,1,ddos
25-Apr-19, 18:39:27 ,126,139,1,ddos
25-Apr-19, 18:39:30 ,120,136,1,ddos
25-Apr-19, 18:39:35 ,120,136,1,ddos
25-Apr-19, 18:39:37 ,126,139,1,ddos
25-Apr-19, 18:39:40 ,120,136,1,ddos
25-Apr-19, 18:39:42 ,126,139,1,ddos
