date,time,latitude,longitude,label,type
25-Apr-19, 18:31:39 ,30132,52521,1,ddos
25-Apr-19, 18:31:41 ,12581,9760,1,ddos
25-Apr-19, 18:31:46 ,45852,34700,1,ddos
25-Apr-19, 18:31:49 ,16789,65141,1,ddos
25-Apr-19, 18:31:51 ,5809,7929,1,ddos
25-Apr-19, 18:31:54 ,41109,13947,1,ddos
25-Apr-19, 18:31:59 ,10671,41798,1,ddos
25-Apr-19, 18:32:01 ,7654,6031,1,ddos
25-Apr-19, 18:32:04 ,57517,6082,1,ddos
25-Apr-19, 18:32:06 ,33737,12146,1,ddos
25-Apr-19, 18:32:09 ,48740,21896,1,ddos
25-Apr-19, 18:32:11 ,46999,4010,1,ddos
25-Apr-19, 18:32:14 ,54785,28140,1,ddos
25-Apr-19, 18:32:16 ,25458,49418,1,ddos
25-Apr-19, 18:32:19 ,15100,36200,1,ddos
25-Apr-19, 18:32:21 ,24778,11915,1,ddos
25-Apr-19, 18:32:24 ,58929,41032,1,ddos
25-Apr-19, 18:32:29 ,42550,48848,1,ddos
25-Apr-19, 18:32:31 ,22641,45583,1,ddos
25-Apr-19, 18:32:34 ,127,32433,1,ddos
25-Apr-19, 18:32:36 ,9455,51901,1,ddos
25-Apr-19, 18:32:39 ,58274,31068,1,ddos
25-Apr-19, 18:32:41 ,37022,8516,1,ddos
25-Apr-19, 18:32:46 ,53888,33343,1,ddos
25-Apr-19, 18:32:49 ,52627,22331,1,ddos
25-Apr-19, 18:32:51 ,34120,16102,1,ddos
25-Apr-19, 18:32:54 ,26955,13085,1,ddos
25-Apr-19, 18:32:59 ,31026,1449,1,ddos
25-Apr-19, 18:33:04 ,13075,46487,1,ddos
25-Apr-19, 18:33:06 ,51179,7968,1,ddos
25-Apr-19, 18:33:09 ,56011,2056,1,ddos
25-Apr-19, 18:33:11 ,47519,24975,1,ddos
25-Apr-19, 18:33:16 ,39945,59459,1,ddos
25-Apr-19, 18:33:19 ,10515,2546,1,ddos
25-Apr-19, 18:33:21 ,39822,26431,1,ddos
25-Apr-19, 18:33:24 ,38494,60120,1,ddos
25-Apr-19, 18:33:26 ,58970,49699,1,ddos
25-Apr-19, 18:33:29 ,4636,7710,1,ddos
25-Apr-19, 18:33:31 ,15102,31168,1,ddos
25-Apr-19, 18:33:34 ,35448,53333,1,ddos
25-Apr-19, 18:33:36 ,26960,18926,1,ddos
25-Apr-19, 18:33:39 ,26657,48249,1,ddos
25-Apr-19, 18:33:41 ,46131,49372,1,ddos
25-Apr-19, 18:33:46 ,56220,59203,1,ddos
25-Apr-19, 18:33:49 ,58011,6239,1,ddos
25-Apr-19, 18:33:51 ,55648,40476,1,ddos
25-Apr-19, 18:33:54 ,18375,26901,1,ddos
25-Apr-19, 18:33:59 ,53346,30957,1,ddos
25-Apr-19, 18:34:01 ,32207,18577,1,ddos
25-Apr-19, 18:34:04 ,38945,43853,1,ddos
25-Apr-19, 18:34:06 ,16126,25441,1,ddos
25-Apr-19, 18:34:09 ,53598,65378,1,ddos
25-Apr-19, 18:34:11 ,810,57225,1,ddos
25-Apr-19, 18:34:16 ,41892,62615,1,ddos
25-Apr-19, 18:34:19 ,31369,5193,1,ddos
25-Apr-19, 18:34:21 ,57293,3111,1,ddos
25-Apr-19, 18:34:24 ,37855,36433,1,ddos
25-Apr-19, 18:34:29 ,2975,23156,1,ddos
25-Apr-19, 18:34:31 ,13475,36003,1,ddos
25-Apr-19, 18:34:34 ,9548,59551,1,ddos
25-Apr-19, 18:34:39 ,17095,21902,1,ddos
25-Apr-19, 18:34:46 ,38992,15786,1,ddos
25-Apr-19, 18:34:51 ,9594,63904,1,ddos
25-Apr-19, 18:34:54 ,45212,57953,1,ddos
25-Apr-19, 18:34:56 ,25482,18880,1,ddos
25-Apr-19, 18:34:59 ,42168,27068,1,ddos
25-Apr-19, 18:35:01 ,10685,33428,1,ddos
25-Apr-19, 18:35:04 ,3957,46170,1,ddos
25-Apr-19, 18:35:06 ,6408,9577,1,ddos
25-Apr-19, 18:35:09 ,23486,41678,1,ddos
25-Apr-19, 18:35:11 ,32535,12992,1,ddos
25-Apr-19, 18:35:21 ,45682,9083,1,ddos
25-Apr-19, 18:35:24 ,64140,55225,1,ddos
25-Apr-19, 18:35:29 ,62749,32754,1,ddos
25-Apr-19, 18:35:34 ,63544,115,1,ddos
25-Apr-19, 18:35:37 ,24684,26430,1,ddos
25-Apr-19, 18:35:42 ,55747,51408,1,ddos
25-Apr-19, 18:35:47 ,12803,57018,1,ddos
25-Apr-19, 18:35:52 ,52173,54743,1,ddos
25-Apr-19, 18:35:55 ,30540,32849,1,ddos
25-Apr-19, 18:35:57 ,45667,61587,1,ddos
25-Apr-19, 18:36:00 ,16728,3230,1,ddos
25-Apr-19, 18:36:05 ,27714,63610,1,ddos
25-Apr-19, 18:36:07 ,39600,32246,1,ddos
25-Apr-19, 18:36:10 ,58488,54709,1,ddos
25-Apr-19, 18:36:12 ,44432,33611,1,ddos
25-Apr-19, 18:36:15 ,27718,4191,1,ddos
25-Apr-19, 18:36:17 ,1402,34133,1,ddos
25-Apr-19, 18:36:22 ,62328,26583,1,ddos
25-Apr-19, 18:36:25 ,59937,411,1,ddos
25-Apr-19, 18:36:27 ,30527,24443,1,ddos
25-Apr-19, 18:38:55 ,32204,13496,1,ddos
25-Apr-19, 18:38:57 ,39873,33120,1,ddos
25-Apr-19, 18:39:00 ,58721,47097,1,ddos
25-Apr-19, 18:39:05 ,9363,64209,1,ddos
25-Apr-19, 18:39:07 ,16393,51882,1,ddos
25-Apr-19, 18:39:10 ,22483,53537,1,ddos
25-Apr-19, 18:39:12 ,30624,6573,1,ddos
25-Apr-19, 18:39:15 ,45964,12426,1,ddos
25-Apr-19, 18:39:17 ,13029,45253,1,ddos
25-Apr-19, 18:39:22 ,18536,45624,1,ddos
25-Apr-19, 18:39:25 ,59660,40939,1,ddos
25-Apr-19, 18:39:27 ,37936,44596,1,ddos
25-Apr-19, 18:39:30 ,36447,15649,1,ddos
25-Apr-19, 18:39:35 ,58628,65356,1,ddos
25-Apr-19, 18:39:37 ,47840,29073,1,ddos
25-Apr-19, 18:39:40 ,46923,31493,1,ddos
25-Apr-19, 18:39:42 ,11201,55227,1,ddos
25-Apr-19, 18:39:45 ,8008,48000,1,ddos
25-Apr-19, 18:39:47 ,13621,2857,1,ddos
25-Apr-19, 18:39:52 ,4682,51994,1,ddos
25-Apr-19, 18:39:55 ,9084,15094,1,ddos
25-Apr-19, 18:39:57 ,37064,16993,1,ddos
25-Apr-19, 18:40:00 ,54208,31646,1,ddos
25-Apr-19, 18:40:05 ,8542,10676,1,ddos
25-Apr-19, 18:40:07 ,43312,40346,1,ddos
25-Apr-19, 18:40:10 ,6709,45657,1,ddos
25-Apr-19, 18:40:12 ,48709,7804,1,ddos
25-Apr-19, 18:40:15 ,15305,59086,1,ddos
25-Apr-19, 18:40:17 ,65169,41634,1,ddos
