date,time,FC1_Read_Input_Register,FC2_Read_Discrete_Value,FC3_Read_Holding_Register,FC4_Read_Coil,label,type
25-Apr-19, 09:14:00 ,50588.2928503544,66142.97404099867,28739.186571030164,5528.512100466533,1,injection
25-Apr-19, 09:14:00 ,46878.94543133612,46800.87435769533,40542.29747086248,-6099.8178983560065,1,injection
25-Apr-19, 09:14:01 ,63124.39987632411,61836.561942575834,21995.49096909142,16598.07535349262,1,injection
25-Apr-19, 09:14:02 ,38919.42942543576,47405.239021613175,23993.009796054124,21293.05584997498,1,injection
25-Apr-19, 09:14:04 ,39143.649943603865,59846.665916697784,30381.855211659662,27491.45415633275,1,injection
25-Apr-19, 09:14:06 ,38904.611400515816,36655.11580031249,13932.130515340887,21110.017099343248,1,injection
25-Apr-19, 09:14:07 ,73631.187596254,39301.67456936442,16595.093098210753,22364.498409214062,1,injection
25-Apr-19, 09:14:09 ,53821.530729366525,15355.412138656213,21199.14990880299,44204.66811456567,1,injection
25-Apr-19, 09:14:10 ,41088.56458258968,6872.857934114092,19930.81271309287,39796.89587913209,1,injection
25-Apr-19, 09:14:10 ,52707.73718175092,23744.058542679137,25979.76667482469,50639.850257911785,1,injection
25-Apr-19, 09:14:11 ,55822.27235802782,52371.08474354269,54305.73177184171,14637.694931881453,1,injection
25-Apr-19, 09:14:12 ,49165.27298966682,47015.38854375868,52021.902740625614,11231.581162083026,1,injection
25-Apr-19, 09:14:14 ,53475.529609941506,56962.96816443829,51547.78165021949,9336.663458907304,1,injection
25-Apr-19, 09:14:15 ,48416.045097264316,57669.382674635635,58431.70851686864,6489.724760126445,1,injection
25-Apr-19, 09:14:15 ,27877.420861291597,41277.528862373794,60906.60352037079,65958.26401878835,1,injection
25-Apr-19, 09:14:16 ,59911.25760824615,32317.28015535876,57558.483864487505,65698.86234957204,1,injection
25-Apr-19, 09:14:17 ,31799.355343986652,19749.782043465006,58266.78189868772,61189.2714890536,1,injection
25-Apr-19, 09:14:19 ,41748.03032346171,47483.13285901438,52582.28492646049,65448.37936120847,1,injection
25-Apr-19, 09:14:20 ,28441.34132253014,69101.64877245788,36578.65692880076,39789.0494285722,1,injection
25-Apr-19, 09:14:20 ,18424.497185859556,65104.01577809802,43582.22984359248,34584.54408138303,1,injection
25-Apr-19, 09:14:21 ,16436.04591713476,41081.983374701755,50225.81992762114,32386.857749360966,1,injection
25-Apr-19, 09:14:22 ,3545.7503128344615,68494.24680898956,53218.28330113148,40244.44644367538,1,injection
25-Apr-19, 09:14:24 ,76625.61064126744,13300.185368113564,48692.00546582324,51124.35059966401,1,injection
25-Apr-19, 09:14:25 ,48638.925152654025,16658.557738613432,58977.19075175947,36399.61500615326,1,injection
25-Apr-19, 09:14:25 ,58137.370370317825,15779.971034098957,43019.28409553681,35803.32913136977,1,injection
25-Apr-19, 09:14:26 ,77251.32915602886,13979.973898946191,53886.54170217816,40925.51073070322,1,injection
25-Apr-19, 09:14:27 ,-3226.410522120743,54243.57450806513,16247.964827501388,37914.985213072185,1,injection
25-Apr-19, 09:14:29 ,-5683.88433931832,45088.2080714801,20547.587610567323,23638.511532587938,1,injection
25-Apr-19, 09:14:30 ,-9226.443673613949,49543.04412946153,6026.618984385712,17830.071688290252,1,injection
25-Apr-19, 09:14:30 ,10052.592451860575,50738.41753796871,18419.180816887572,19533.983575672548,1,injection
25-Apr-19, 09:14:31 ,39314.731384261926,12509.579680300823,28859.342070473234,38033.497063960356,1,injection
25-Apr-19, 09:14:32 ,48799.08172115306,14392.329042388137,34712.110904891495,40104.391405271635,1,injection
25-Apr-19, 09:14:34 ,47287.776366614984,22603.374249533117,47843.3766072265,25159.630896176448,1,injection
25-Apr-19, 09:14:35 ,41452.07938188318,19434.074651746396,24874.24404057217,41241.04343450561,1,injection
25-Apr-19, 09:14:35 ,17680.64258774723,42213.487006072886,34562.03604315945,18213.745750075006,1,injection
25-Apr-19, 09:14:36 ,8498.31185371658,66230.29739062022,50121.699686821885,19548.19483391541,1,injection
25-Apr-19, 09:14:37 ,11082.193013152182,30603.51982522777,30469.675830088938,25410.29945310252,1,injection
25-Apr-19, 09:14:39 ,20598.78945213485,29033.34887075053,62646.450336694164,8656.155288428532,1,injection
25-Apr-19, 09:14:40 ,46676.34636362333,59722.74066154693,33478.933114042266,14611.647531095365,1,injection
25-Apr-19, 09:14:40 ,41583.72725272048,67943.80334916672,21368.040445905048,12399.333182564142,1,injection
25-Apr-19, 09:14:41 ,44941.12191272058,57082.585190352474,29756.401186694115,21273.018656206452,1,injection
25-Apr-19, 09:14:42 ,54999.89652989098,63498.36619758282,28432.381539882612,16252.600527198065,1,injection
25-Apr-19, 09:14:44 ,2674.8434725115503,26944.846776600898,7414.174799644533,70537.99699222916,1,injection
25-Apr-19, 09:14:45 ,8558.127726567527,31460.03752244632,-5051.970221508569,52835.02115235082,1,injection
25-Apr-19, 09:14:45 ,-3991.952342763695,43915.65261380651,3184.645701861173,58077.17782585409,1,injection
25-Apr-19, 09:14:46 ,-4772.031686764381,30842.732813531748,17271.087572390745,58831.05223549611,1,injection
25-Apr-19, 09:14:47 ,11770.203751199404,50672.370373940765,21543.759298497902,54147.49964646535,1,injection
25-Apr-19, 09:14:49 ,18773.7603107436,70627.14502316702,28014.33143968914,61710.299823973844,1,injection
25-Apr-19, 09:14:50 ,10525.233201634801,37300.74710007022,28198.79935847906,64313.040004916715,1,injection
25-Apr-19, 09:14:50 ,5928.063738844432,55217.59222386622,29207.90637516791,56519.28149531284,1,injection
25-Apr-19, 09:14:51 ,-25361.550171425206,67899.14352280399,2677.1511452638415,23546.083345528332,1,injection
25-Apr-19, 09:14:52 ,3106.8164928462734,49629.51529830195,2783.3357016777563,22462.02412153413,1,injection
25-Apr-19, 09:14:54 ,8362.775381264273,64778.228089881384,-7599.178457305754,31163.61412888519,1,injection
25-Apr-19, 09:14:55 ,6194.118873235638,60569.76103656375,-11808.067073714506,20414.193998366805,1,injection
25-Apr-19, 09:14:55 ,8532.463813045018,37773.93272352056,30070.030640336445,16383.59742626762,1,injection
25-Apr-19, 09:14:56 ,27731.7636751573,17924.41108945415,41098.398446830586,37510.134648744744,1,injection
25-Apr-19, 09:14:57 ,29535.614169477136,32358.521347491755,59183.48934200075,36496.89568464779,1,injection
25-Apr-19, 09:14:59 ,10630.290118696566,10348.01343498777,34705.455655497295,39713.827021377234,1,injection
25-Apr-19, 09:15:00 ,58946.34010267292,25357.79324029316,45262.31345893047,38514.746118974566,1,injection
25-Apr-19, 09:15:00 ,53717.02640680924,15795.551151014248,48762.98679541469,35665.510113155106,1,injection
25-Apr-19, 09:15:01 ,80412.74972467663,25586.97344827662,53326.84460459933,51219.51183319627,1,injection
25-Apr-19, 09:15:02 ,82377.01007431376,37091.85669663033,71255.14916041745,51582.36499920862,1,injection
25-Apr-19, 09:15:04 ,41937.116973728334,8688.765818072574,30991.80905602392,18386.18763517259,1,injection
25-Apr-19, 09:15:05 ,37125.78246334966,5778.587007492279,17116.637606474804,15962.269714623939,1,injection
25-Apr-19, 09:15:05 ,35657.92522658984,5026.697835964476,31226.96945733185,-6393.933307238247,1,injection
25-Apr-19, 09:15:06 ,39010.05713530493,12481.999602779228,21289.63524455804,24352.62267912693,1,injection
25-Apr-19, 09:15:07 ,-834.1741544898377,38522.402281044706,48159.53960535218,863.3379481404208,1,injection
25-Apr-19, 09:15:09 ,10894.95420358776,42319.812489817035,38992.95746356981,6711.983645577376,1,injection
25-Apr-19, 09:15:10 ,13734.695957880207,41947.12911633921,31945.940813191995,9340.405950522847,1,injection
25-Apr-19, 09:15:10 ,9173.912627143653,32849.343299847314,36476.54022620088,5241.344973476039,1,injection
25-Apr-19, 09:15:11 ,36165.67878320878,17227.474617811742,14922.726137789014,44009.37528805236,1,injection
25-Apr-19, 09:15:12 ,30700.394007746356,20776.17051803125,8793.499353699723,52110.100630692716,1,injection
25-Apr-19, 09:15:14 ,48166.17925542758,7366.834385167795,14773.58002472064,55247.72158141955,1,injection
25-Apr-19, 09:15:15 ,32771.54501462755,5626.891811682412,26066.700341771568,39912.09036896583,1,injection
25-Apr-19, 09:15:15 ,40491.32350997746,17719.347837708097,-8263.2933639507,54840.11312814464,1,injection
25-Apr-19, 09:15:16 ,49875.28428850434,29566.71143309572,8536.529675322476,64883.84498073783,1,injection
25-Apr-19, 09:15:17 ,51473.118091353346,14686.518512413837,21259.91773203251,62955.42206657429,1,injection
25-Apr-19, 09:15:19 ,61954.98415849213,7165.281844152822,25011.762198142747,47686.48124858512,1,injection
25-Apr-19, 09:15:20 ,83407.76049621284,8054.764098758613,-9071.923657193613,66928.24532643607,1,injection
25-Apr-19, 09:15:20 ,58462.368758826364,19197.331896437376,9517.498960896795,66131.76259999939,1,injection
25-Apr-19, 09:15:21 ,49777.32608510301,13969.847318535563,10719.051112596606,70047.4272926532,1,injection
25-Apr-19, 09:15:22 ,62684.91883601111,8903.191975637064,5230.851750997459,63655.19836206329,1,injection
25-Apr-19, 09:15:24 ,29187.268631895706,11185.907991308426,63187.09967222948,5497.545768721912,1,injection
25-Apr-19, 09:15:25 ,38685.99288823835,42126.2587748634,63154.54723236941,-32551.04536107918,1,injection
25-Apr-19, 09:15:25 ,39269.661714986425,27432.239419339538,69304.92281648747,-12136.306658194964,1,injection
25-Apr-19, 09:15:26 ,47063.55850050242,21437.47832144721,63918.38310349327,-18761.399997312423,1,injection
25-Apr-19, 09:15:27 ,37127.6282400427,52980.30481297652,20699.419167150365,25959.434470156688,1,injection
25-Apr-19, 09:15:29 ,52560.52252821687,71143.22730515723,26117.49582826765,21409.242916575473,1,injection
