date,time,FC1_Read_Input_Register,FC2_Read_Discrete_Value,FC3_Read_Holding_Register,FC4_Read_Coil,label,type
25-Apr-19, 09:14:00 ,1932,56626,46321,16836,1,injection
25-Apr-19, 09:14:00 ,60661,45765,18482,47206,1,injection
25-Apr-19, 09:14:01 ,30273,31322,19173,48335,1,injection
25-Apr-19, 09:14:02 ,248,15125,32490,48866,1,injection
25-Apr-19, 09:14:04 ,46356,25405,29963,51291,1,injection
25-Apr-19, 09:14:06 ,30781,10720,31021,9716,1,injection
25-Apr-19, 09:14:07 ,64368,32897,8869,45286,1,injection
25-Apr-19, 09:14:09 ,17218,14092,55960,58922,1,injection
25-Apr-19, 09:14:10 ,13832,55927,43158,64955,1,injection
25-Apr-19, 09:14:10 ,61421,53098,42582,60153,1,injection
25-Apr-19, 09:14:11 ,21652,2184,48589,59958,1,injection
25-Apr-19, 09:14:12 ,18069,65171,20290,49885,1,injection
25-Apr-19, 09:14:14 ,22890,40072,58535,50840,1,injection
25-Apr-19, 09:14:15 ,31043,4843,58693,64398,1,injection
25-Apr-19, 09:14:15 ,56591,20304,53325,40872,1,injection
25-Apr-19, 09:14:16 ,61283,28082,24783,50027,1,injection
25-Apr-19, 09:14:17 ,44062,24368,60040,6333,1,injection
25-Apr-19, 09:14:19 ,35180,11237,59514,49426,1,injection
25-Apr-19, 09:14:20 ,2205,8145,33443,32210,1,injection
25-Apr-19, 09:14:20 ,63721,45102,21718,28758,1,injection
25-Apr-19, 09:14:21 ,15614,11264,13356,57152,1,injection
25-Apr-19, 09:14:22 ,27391,56423,41050,38006,1,injection
25-Apr-19, 09:14:24 ,45530,22574,40454,22738,1,injection
25-Apr-19, 09:14:25 ,47323,26670,3690,61637,1,injection
25-Apr-19, 09:14:25 ,44680,4626,7219,31030,1,injection
25-Apr-19, 09:14:26 ,29951,18956,50633,60327,1,injection
25-Apr-19, 09:14:27 ,23028,11283,34706,1533,1,injection
25-Apr-19, 09:14:29 ,19207,27181,7398,1198,1,injection
25-Apr-19, 09:14:30 ,34135,24636,47826,63105,1,injection
25-Apr-19, 09:14:30 ,6278,48521,50908,31551,1,injection
25-Apr-19, 09:14:31 ,60460,54935,9832,22885,1,injection
25-Apr-19, 09:14:32 ,19276,64030,14861,61003,1,injection
25-Apr-19, 09:14:34 ,31336,24323,37643,64262,1,injection
25-Apr-19, 09:14:35 ,43218,59251,63353,29966,1,injection
25-Apr-19, 09:14:35 ,49882,52623,38098,5320,1,injection
25-Apr-19, 09:14:36 ,61687,45563,18538,42622,1,injection
25-Apr-19, 09:14:37 ,58778,22896,49987,20413,1,injection
25-Apr-19, 09:14:39 ,42358,47864,10546,44150,1,injection
25-Apr-19, 09:14:40 ,61957,14590,48830,24400,1,injection
25-Apr-19, 09:14:40 ,38498,6284,30894,26450,1,injection
25-Apr-19, 09:14:41 ,8709,21074,39311,54785,1,injection
25-Apr-19, 09:14:42 ,25769,9103,19573,36618,1,injection
25-Apr-19, 09:14:44 ,62735,52361,47168,9300,1,injection
25-Apr-19, 09:14:45 ,33957,34153,10750,27995,1,injection
25-Apr-19, 09:14:45 ,6756,28671,12158,41270,1,injection
25-Apr-19, 09:14:46 ,63200,21068,57,52853,1,injection
25-Apr-19, 09:14:47 ,56826,41133,20135,37576,1,injection
25-Apr-19, 09:14:49 ,33690,46476,53180,62652,1,injection
25-Apr-19, 09:14:50 ,1231,39530,10145,6305,1,injection
25-Apr-19, 09:14:50 ,52854,58070,55714,12240,1,injection
