date,time,FC1_Read_Input_Register,FC2_Read_Discrete_Value,FC3_Read_Holding_Register,FC4_Read_Coil,label,type
25-Apr-19, 09:14:00 ,46381,788,22006,5022,1,injection
25-Apr-19, 09:14:00 ,29576,18866,9547,52168,1,injection
25-Apr-19, 09:14:01 ,54821,53447,50251,966,1,injection
25-Apr-19, 09:14:02 ,59702,28027,31029,8753,1,injection
25-Apr-19, 09:14:04 ,32256,47498,53721,42462,1,injection
25-Apr-19, 09:14:06 ,8393,64448,58759,34054,1,injection
25-Apr-19, 09:14:07 ,2382,9828,23868,23227,1,injection
25-Apr-19, 09:14:09 ,58803,50912,24196,46394,1,injection
25-Apr-19, 09:14:10 ,14718,60352,39030,9570,1,injection
25-Apr-19, 09:14:10 ,34608,63876,15935,58627,1,injection
25-Apr-19, 09:14:11 ,65200,60,22330,22805,1,injection
25-Apr-19, 09:14:12 ,19137,60357,26135,41589,1,injection
25-Apr-19, 09:14:14 ,6083,40377,12767,7852,1,injection
25-Apr-19, 09:14:15 ,45851,63903,52650,9696,1,injection
25-Apr-19, 09:14:15 ,38378,59559,13657,49335,1,injection
25-Apr-19, 09:14:16 ,31794,21816,19245,48664,1,injection
25-Apr-19, 09:14:17 ,15103,46448,56238,54887,1,injection
25-Apr-19, 09:14:19 ,15736,14860,25827,13645,1,injection
25-Apr-19, 09:14:20 ,42048,5324,36192,27635,1,injection
25-Apr-19, 09:14:20 ,30948,44847,5380,42424,1,injection
25-Apr-19, 09:14:21 ,11083,40705,63325,51604,1,injection
25-Apr-19, 09:14:22 ,63016,5683,17646,37539,1,injection
25-Apr-19, 09:14:24 ,15864,10191,5845,6750,1,injection
25-Apr-19, 09:14:25 ,39076,22149,8153,64674,1,injection
25-Apr-19, 09:14:25 ,41634,30476,22426,12034,1,injection
25-Apr-19, 09:14:26 ,57747,23804,7909,31533,1,injection
25-Apr-19, 09:14:27 ,5826,12591,58304,41335,1,injection
25-Apr-19, 09:14:29 ,28527,64226,40873,22983,1,injection
25-Apr-19, 09:14:30 ,34361,24826,19445,3993,1,injection
25-Apr-19, 09:14:30 ,8523,25093,25894,48498,1,injection
25-Apr-19, 09:14:31 ,51571,7697,63289,18889,1,injection
25-Apr-19, 09:14:32 ,44739,45618,57336,38415,1,injection
25-Apr-19, 09:14:34 ,59443,595,52188,7634,1,injection
25-Apr-19, 09:14:35 ,41476,51463,24593,49207,1,injection
25-Apr-19, 09:14:35 ,18705,46198,39053,40580,1,injection
25-Apr-19, 09:14:36 ,12046,41951,29004,7998,1,injection
25-Apr-19, 09:14:37 ,43672,18089,13870,17336,1,injection
25-Apr-19, 09:14:39 ,43052,37219,41813,23419,1,injection
25-Apr-19, 09:14:40 ,25624,11779,18447,36006,1,injection
25-Apr-19, 09:14:40 ,30230,13060,3402,53826,1,injection
25-Apr-19, 09:14:41 ,4024,5696,15198,24205,1,injection
25-Apr-19, 09:14:42 ,53651,7846,57532,12266,1,injection
25-Apr-19, 09:14:44 ,59045,16529,45557,31618,1,injection
25-Apr-19, 09:14:45 ,28315,34171,6431,32156,1,injection
25-Apr-19, 09:14:45 ,61871,62204,63054,63837,1,injection
25-Apr-19, 09:14:46 ,30184,51792,25005,52351,1,injection
25-Apr-19, 09:14:47 ,38725,22055,46574,20843,1,injection
25-Apr-19, 09:14:49 ,10257,11674,4224,11316,1,injection
25-Apr-19, 09:14:50 ,23377,1637,10025,65331,1,injection
25-Apr-19, 09:14:50 ,48910,59342,25196,22107,1,injection
25-Apr-19, 09:14:51 ,23007,28102,60418,61185,1,injection
25-Apr-19, 09:14:52 ,34183,29130,35665,19915,1,injection
25-Apr-19, 09:14:54 ,62645,8369,49128,376,1,injection
25-Apr-19, 09:14:55 ,42746,42232,11977,42834,1,injection
25-Apr-19, 09:14:55 ,18521,56606,43572,41752,1,injection
25-Apr-19, 09:14:56 ,17757,44423,48251,37572,1,injection
25-Apr-19, 09:14:57 ,51167,9468,19655,54188,1,injection
25-Apr-19, 09:14:59 ,30287,20266,13873,13739,1,injection
25-Apr-19, 09:15:00 ,59302,54990,23964,41364,1,injection
25-Apr-19, 09:15:00 ,50778,33369,7496,7498,1,injection
25-Apr-19, 09:15:01 ,24206,36440,38696,24106,1,injection
25-Apr-19, 09:15:02 ,21884,11235,992,21774,1,injection
25-Apr-19, 09:15:04 ,11481,54049,11905,62501,1,injection
25-Apr-19, 09:15:05 ,61287,40457,21006,55037,1,injection
