K_bits,Bitmask_Hex,Attacker_Wiretap_Acc_pct,Attacker_Wiretap_F1,Transfer_Attack_Acc_pct,Privacy_Gain_pp,Cloud_Restoration_Acc_pct,Max_Restoration_Error,Compute_Time_sec
1,0x0001,98.09,0.9809,98.47,0.39,100.0,0,1.97
2,0x0003,98.44,0.9844,98.47,0.03,100.0,0,2.31
3,0x0007,98.17,0.9817,98.47,0.31,100.0,0,2.15
4,0x000F,98.22,0.9822,98.47,0.26,100.0,0,1.91
6,0x003F,98.39,0.9839,98.51,0.08,100.0,0,2.04
8,0x00FF,98.09,0.9809,98.04,0.39,100.0,0,1.83
10,0x03FF,96.5,0.965,93.38,1.98,100.0,0,1.8
12,0x0FFF,75.91,0.759,68.35,22.57,100.0,0,1.69
14,0x3FFF,52.6,0.5252,50.66,45.87,100.0,0,2.03
16,0xFFFF,49.57,0.4944,50.84,48.91,100.0,0,2.44
